name,address,latitude,longitude,Type,id,webUrl
L'Indus Bar,"Grand-Rue 64, Bulle 1630 Switzerland",46.62103,7.058252,1,7285961,https://www.tripadvisor.com/Restaurant_Review-g652156-d7285961-Reviews-L_Indus_Bar-Bulle_La_Gruyere_Canton_of_Fribourg.html
Restaurant Angelus Wine Bar,"Grand-Rue 65, Bulle 1630 Switzerland",46.620907,7.057957,1,19736848,https://www.tripadvisor.com/Restaurant_Review-g652156-d19736848-Reviews-Restaurant_Angelus_Wine_Bar-Bulle_La_Gruyere_Canton_of_Fribourg.html
FryBurger Gourmet Bulle,"Rue Nicolas-Glasson 3, Bulle 1630 Switzerland",46.61767,7.05555,1,11706477,https://www.tripadvisor.com/Restaurant_Review-g652156-d11706477-Reviews-FryBurger_Gourmet_Bulle-Bulle_La_Gruyere_Canton_of_Fribourg.html
king’s 46,"rue de Gruyeres 58, Bulle 1630 Switzerland",46.61488,7.05801,1,21405145,https://www.tripadvisor.com/Restaurant_Review-g652156-d21405145-Reviews-King_s_46-Bulle_La_Gruyere_Canton_of_Fribourg.html
Le Carioca Diner americain cafe retaurant,"ruelle des Ormeaux 17, La Tour-de-Treme 1635 Switzerland",46.60767,7.06644,1,10046839,https://www.tripadvisor.com/Restaurant_Review-g4277996-d10046839-Reviews-Le_Carioca_Diner_americain_cafe_retaurant-La_Tour_de_Treme_Canton_of_Fribourg.html
McDonald's La Tour-De-Treme,"route de l'Intyamon 107, La Tour-de-Treme 1635 Switzerland",46.601868,7.074258,1,13555128,https://www.tripadvisor.com/Restaurant_Review-g4277996-d13555128-Reviews-McDonald_s_La_Tour_De_Treme-La_Tour_de_Treme_Canton_of_Fribourg.html
Le Thai Break,"rue de Vevey 27, Bulle 1630 Switzerland",46.616158,7.054919,1,7337130,https://www.tripadvisor.com/Restaurant_Review-g652156-d7337130-Reviews-Le_Thai_Break-Bulle_La_Gruyere_Canton_of_Fribourg.html
Kalasin,"Rue Follieran, 19, Bulle 1630 Switzerland",46.622036,7.05779,1,17621567,https://www.tripadvisor.com/Restaurant_Review-g652156-d17621567-Reviews-Kalasin-Bulle_La_Gruyere_Canton_of_Fribourg.html
Tea-Room La Potiniere,"avenue de la Gare 5, Bulle 1630 Switzerland",46.61761,7.0562,1,10477040,https://www.tripadvisor.com/Restaurant_Review-g652156-d10477040-Reviews-Tea_Room_La_Potiniere-Bulle_La_Gruyere_Canton_of_Fribourg.html
Globull,"rue de l'Etang 21, Bulle 1630 Switzerland",46.62627,7.06709,1,4149323,https://www.tripadvisor.com/Restaurant_Review-g652156-d4149323-Reviews-Globull-Bulle_La_Gruyere_Canton_of_Fribourg.html
Caribou Bar Lounge,"Grand Rue 70, Chateau-d'Oex 1660 Switzerland",46.473667,7.130403,1,15189254,https://www.tripadvisor.com/Restaurant_Review-g580351-d15189254-Reviews-Caribou_Bar_Lounge-Chateau_d_Oex_Canton_of_Vaud.html
HR Giger Bar Museum,"Chateau St. Germain Rue du Château 3, Gruyeres 1663 Switzerland",46.584167,7.082228,1,4802733,https://www.tripadvisor.com/Restaurant_Review-g198820-d4802733-Reviews-HR_Giger_Bar_Museum-Gruyeres_La_Gruyere_Canton_of_Fribourg.html
Restaurant Rodizio Picanha,"route du Verdel 8, Bulle 1630 Switzerland",46.62396,7.066551,1,10557098,https://www.tripadvisor.com/Restaurant_Review-g652156-d10557098-Reviews-Restaurant_Rodizio_Picanha-Bulle_La_Gruyere_Canton_of_Fribourg.html
boule de neige,"rue de Gruyeres 7, Bulle 1630 Switzerland",46.61721,7.05737,1,14783703,https://www.tripadvisor.com/Restaurant_Review-g652156-d14783703-Reviews-Boule_de_neige-Bulle_La_Gruyere_Canton_of_Fribourg.html
Le Patissier de l'Hotel Cailler,"rue du Centre 25, Charmey 1637 Switzerland",46.61929,7.164656,1,11904490,https://www.tripadvisor.com/Restaurant_Review-g635662-d11904490-Reviews-Le_Patissier_de_l_Hotel_Cailler-Charmey_La_Gruyere_Canton_of_Fribourg.html
Early Beck Boulanger Confiseur,"Grand Rue 78, Chateau-d'Oex 1660 Switzerland",46.47398,7.13142,1,15013149,https://www.tripadvisor.com/Restaurant_Review-g580351-d15013149-Reviews-Early_Beck_Boulanger_Confiseur-Chateau_d_Oex_Canton_of_Vaud.html
