"restoName","restoId","title","content","rating","dateOfVist","ratingDate"
"L'Indus Bar","7285961","Moyen","Repas bon mais tout le reste pas terrible, c est triste, peu éclairé, gros manque d entretien et de propreté, toilettes sales une horreur. Pas contre serveuse timide mais très sympa",3,,"January 8, 2022"
"L'Indus Bar","7285961","La classe!","Bar au top, une valeur sure dans la ville de Bulle. Les burgers sont trop trop bons, et Yannick est génereux avec le fromage à raclette (Merci encore hein)..... hahahaha. Toujours un bon accueil et un service rapide. Au top l'équipe!",5,,"February 18, 2019"
"L'Indus Bar","7285961","Burger très bon et cadre agréable","Nous y sommes allé suite aux avis sur Trip Advisor et n'avons pas été décus. Service rapide et sympa. J'ai pris une salde au lieu des frites, plus que généreux avec la salade.",5,,"October 1, 2018"
"L'Indus Bar","7285961","Hamburgers maison magnifiques","Bar servant d'excellents hamburgers faits maison vous en aurez assez dans votre assiette.... à noter que cela reste un bar avec de bons petits plats pour le midi c'est sympa.",5,,"August 13, 2017"
"L'Indus Bar","7285961","Bar au top et adapté à tous !","Que vous ayez 18 ans ou beaucoup plus, vous serez bien accueillis dans ce bar fort sympathique !!!
Le patron saura vous régaler à midi avec les meilleurs hamburgers de la région, un bon plat de pâtes ou ces belles salades. Le soir sur semaine atmosphère plus tranquille pour déguster un bon verre de vin entre amis, une petite planchette ou le merveilleux tartare maison. Vendredi et samedi soir, ambiance de dingue et bonne musique.
ALLEZ-Y, vous serez enchanté !",5,,"March 20, 2017"
"L'Indus Bar","7285961","Noite de quinta feira","Espaço agradavel, staff simpático, pouca variedade de cocktails, mas o staff consegue dar volta a situação, espaço a visitar numa próxima oportunidade.
",3,,"February 24, 2017"
"L'Indus Bar","7285961","Bon hamburger et cadre sympa","Bon Hamburger -frites à midi , le cadre est sympathique et le service aussi. Grand choix de bières pression pour un apéro en fin de semaine très cool.",3,,"December 11, 2016"
"L'Indus Bar","7285961","Le bar par excellence","Si il y a un endroit à Bulle pour passer une bonne soirée c est clair c est ici. Merci TripAdvisor de m avoir fait connaître cet endroit, j y ai passé des soirées fantastiques. Ambiance de folie, le patron, les serveuses et les serveurs sont au top !
Je me suis également arrêter une fois pour manger leurs fameux burgers c est clairement de la pure folie.
Merci à toute l équipe et ne changer surtout rien. Bravo",5,,"October 28, 2016"
"L'Indus Bar","7285961","Au top!","Super bar servant une cuisine de très bonne qualité.
À midi et la majorité des soirs, burgers maison, diverses sortes de pâtes et plusieurs salades sont proposés.
Le jeudi soir, un tartare au rapport qualité prix incroyable !
À toute heure, des planchettes sont également servies.
De très jolies propositions de vin blanc et rouge, régulièrement renouvelées, font également partie des bonne surprises que vous réserve Vince, le patron, et toute sa chouette équipe !
Réservation conseillée.
Je recommande chaudement :-)
",5,,"August 3, 2016"
"L'Indus Bar","7285961","Endroit incontournable","L'indus bar est un endroit chaleureux et accueillant où vous trouverez un choix très varié de boissons avec et sans alcool. Lieu idéal pour faire la fête le vendredi et samedi soir, je vous recommande également de vous y rendre en semaine afin de goûter à la délicieuse cuisine qui y est préparée. Simple abordable mais tout simplement exquise!
Je m'y rend souvent et continuerai à y aller régulièrement car je n'ai jamais été déçu.
",5,,"May 10, 2016"
"L'Indus Bar","7285961","Jeune, frais, sympa !","Sympathique endroit à Bulle où l'on y passe d'excellents moments. Le midi, un grand choix de burgers, de pâtes et de salades. Soirée tartare le jeudi soir, excellent lui aussi. Pensez à réserver !

Vince et son équipe toujours disponibles et souriants. Un petit coup de neuf a été donné à la déco récemment.

Le week-end, endroit festif et très apprécié des jeunes de la région.",5,,"May 2, 2016"
"L'Indus Bar","7285961","C est le top","Un endroit chaleureux où on y mange super bien et avec les meilleurs hamburgers. Un accueil et un service toujours au top. Je recommande cet endroit à tout le monde.",5,,"April 24, 2016"
"L'Indus Bar","7285961","Monstre noce !","De loin le bar le plus cool de la région, j'y retourne chaque week-end et je n'ai jamais été déçu. Les burgers de midi sont également super bon ! Je recommande cet endroit à toute personne aimant faire la fête en ordre. Seul petit bémol, la température : les samedis soirs sont très chauds à l'intérieur...

Bref juste pas parfait.",4,,"April 24, 2016"
"L'Indus Bar","7285961","Soirée tartare les jeudis","Bonne ambiance et personnel très sympathique.
Une petite carte propose quelques plats selon le jour de la semaine.
Très bon rapport qualité-prix",4,,"April 1, 2016"
"L'Indus Bar","7285961","De tout, grande qualité, prix sympas","Que ce soit pour une fondue, un poêlon d'entrecôte, une planchette, un burger, c'est l'endroit qu'il vous faut :)",5,,"January 30, 2016"
"L'Indus Bar","7285961","de bons hamburgers à midi","Ce bistro bar fait de très bons hamburgers. avec des variations selon la saison. le service est tres bien et sympa. qualité prix tres bon. Pour tous les gouts et pour tous les appétits",4,,"October 19, 2015"
"L'Indus Bar","7285961","Hamburger","Une valeur sûre pour manger un hamburger à Bulle avec des potatoes maison service sympathique autant à midi que le soir pour aller boire un verre",4,,"August 28, 2015"
