"restoName","restoId","title","content","rating","dateOfVist","ratingDate"
"L'Indus Bar","7285961","Moyen","Repas bon mais tout le reste pas terrible, c est triste, peu éclairé, gros manque d entretien et de propreté,...More",3,,"January 8, 2022"
"L'Indus Bar","7285961","La classe!","Bar au top, une valeur sure dans la ville de Bulle. Les burgers sont trop trop bons, et Yannick est...More",5,,"February 18, 2019"
"L'Indus Bar","7285961","Burger très bon et cadre agréable","Nous y sommes allé suite aux avis sur Trip Advisor et n'avons pas été décus. Service rapide et sympa. J'ai...More",5,,"October 1, 2018"
"L'Indus Bar","7285961","Hamburgers maison magnifiques","Bar servant d'excellents hamburgers faits maison vous en aurez assez dans votre assiette.... à noter que cela reste un bar...More",5,,"August 13, 2017"
"L'Indus Bar","7285961","Bar au top et adapté à tous !","Que vous ayez 18 ans ou beaucoup plus, vous serez bien accueillis dans ce bar fort sympathique !!! Le patron...More",5,,"March 20, 2017"
"L'Indus Bar","7285961","Noite de quinta feira","Espaço agradavel, staff simpático, pouca variedade de cocktails, mas o staff consegue dar volta a situação, espaço a visitar numa...More",3,,"February 24, 2017"
"L'Indus Bar","7285961","Bon hamburger et cadre sympa","Bon Hamburger -frites à midi , le cadre est sympathique et le service aussi. Grand choix de bières pression pour...More",3,,"December 11, 2016"
"L'Indus Bar","7285961","Le bar par excellence","Si il y a un endroit à Bulle pour passer une bonne soirée c est clair c est ici. Merci...More",5,,"October 28, 2016"
"L'Indus Bar","7285961","Au top!","Super bar servant une cuisine de très bonne qualité. À midi et la majorité des soirs, burgers maison, diverses sortes...More",5,,"August 3, 2016"
"L'Indus Bar","7285961","Endroit incontournable","L'indus bar est un endroit chaleureux et accueillant où vous trouverez un choix très varié de boissons avec et sans...More",5,,"May 10, 2016"
"L'Indus Bar","7285961","Jeune, frais, sympa !","Sympathique endroit à Bulle où l'on y passe d'excellents moments. Le midi, un grand choix de burgers, de pâtes et...More",5,,"May 2, 2016"
"L'Indus Bar","7285961","C est le top","Un endroit chaleureux où on y mange super bien et avec les meilleurs hamburgers. Un accueil et un service toujours...More",5,,"April 24, 2016"
"L'Indus Bar","7285961","Monstre noce !","De loin le bar le plus cool de la région, j'y retourne chaque week-end et je n'ai jamais été déçu....More",4,,"April 24, 2016"
"L'Indus Bar","7285961","Soirée tartare les jeudis","Bonne ambiance et personnel très sympathique. Une petite carte propose quelques plats selon le jour de la semaine. Très bon...More",4,,"April 1, 2016"
"L'Indus Bar","7285961","De tout, grande qualité, prix sympas","Que ce soit pour une fondue, un poêlon d'entrecôte, une planchette, un burger, c'est l'endroit qu'il vous faut :)",5,,"January 30, 2016"
"L'Indus Bar","7285961","Moyen","Repas bon mais tout le reste pas terrible, c est triste, peu éclairé, gros manque d entretien et de propreté,...More",3,,"January 8, 2022"
"L'Indus Bar","7285961","La classe!","Bar au top, une valeur sure dans la ville de Bulle. Les burgers sont trop trop bons, et Yannick est...More",5,,"February 18, 2019"
"L'Indus Bar","7285961","Burger très bon et cadre agréable","Nous y sommes allé suite aux avis sur Trip Advisor et n'avons pas été décus. Service rapide et sympa. J'ai...More",5,,"October 1, 2018"
"L'Indus Bar","7285961","Hamburgers maison magnifiques","Bar servant d'excellents hamburgers faits maison vous en aurez assez dans votre assiette.... à noter que cela reste un bar...More",5,,"August 13, 2017"
